plateID,1,2,3,4,5,6,7,8,9,10,11,12
A,NSB,STD 4,bufferCtrl,,,,,,,,,
B,NSB,STD 4,bufferCtrl,,,,,,,,,
C,STD 1,STD 5,C_2,,,,,,,,,
D,STD 1,STD 5,C_2,,,,,,,,,
E,STD 2,STD 6,,,,,,,,,,
F,STD 2,STD 6,,,,,,,,,,
G,STD 3,STD 7,,,,,,,,,,
H,STD 3,STD 7,,,,,,,,,,
,,,,,,,,,,,,
netOD,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
mouseID,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
time,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
type,1,2,3,4,5,6,7,8,9,10,11,12
A,NSB,STD,bufferCtrl,sample,sample,sample,sample,sample,sample,sample,sample,sample
B,NSB,STD,bufferCtrl,sample,sample,sample,sample,sample,sample,sample,sample,sample
C,STD,STD,QC,sample,sample,sample,sample,sample,sample,sample,sample,sample
D,STD,STD,QC,sample,sample,sample,sample,sample,sample,sample,sample,sample
E,STD,STD,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample
F,STD,STD,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample
G,STD,STD,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample
H,STD,STD,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample
,,,,,,,,,,,,
stdPgPerWell,1,2,3,4,5,6,7,8,9,10,11,12
A,,31.25,,,,,,,,,,
B,,31.25,,,,,,,,,,
C,250,15.625,,,,,,,,,,
D,250,15.625,,,,,,,,,,
E,125,7.8125,,,,,,,,,,
F,125,7.8125,,,,,,,,,,
G,62.5,3.90625,,,,,,,,,,
H,62.5,3.90625,,,,,,,,,,
,,,,,,,,,,,,
volPerWell,1,2,3,4,5,6,7,8,9,10,11,12
A,,0.05,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
B,,0.05,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
C,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
D,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
E,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
F,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
G,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
H,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
,,,,,,,,,,,,
dilutionFactor,1,2,3,4,5,6,7,8,9,10,11,12
A,,1,,100,100,100,100,100,100,100,100,100
B,,1,,100,100,100,100,100,100,100,100,100
C,1,1,100,100,100,100,100,100,100,100,100,100
D,1,1,100,100,100,100,100,100,100,100,100,100
E,1,1,100,100,100,100,100,100,100,100,100,100
F,1,1,100,100,100,100,100,100,100,100,100,100
G,1,1,100,100,100,100,100,100,100,100,100,100
H,1,1,100,100,100,100,100,100,100,100,100,100
